feedback_id,campaign_id,feedback_channel,sentiment,primary_theme,comment_length_words,created_at,member_id
F00060,CAMP115,email,neutral,Music selection,39,2026-01-18,MB001
F00061,CAMP109,web,positive,Too much jargon,34,2026-01-20,MB045
F00062,CAMP102,app,positive,Hard to find schedule,29,2026-01-18,MB017
F00063,CAMP113,app,neutral,Hard to find schedule,44,2026-02-04,MB029
F00064,CAMP111,app,positive,Instructor energy,36,2026-01-09,MB038
F00065,CAMP100,email,negative,Repetitive messaging,41,2026-02-07,MB028
F00066,CAMP112,app,negative,Not personalized enough,38,2026-02-09,MB036
F00067,CAMP105,app,neutral,Music selection,28,2026-01-17,MB046
F00068,CAMP112,web,negative,Community vibe,46,2026-01-05,MB045
F00069,CAMP106,email,negative,Too much jargon,58,2025-12-02,MB019
F00070,CAMP110,email,neutral,Pricing confusion,42,2026-03-02,MB004
F00071,CAMP115,app,negative,Difficulty mismatch,92,2026-02-23,MB018
F00072,CAMP117,app,negative,Unclear value proposition,69,2026-01-17,MB036
F00073,CAMP103,email,negative,Music selection,45,2025-12-30,MB048
F00074,CAMP106,email,neutral,Pricing confusion,45,2026-02-03,MB003
F00075,CAMP115,web,positive,Community vibe,34,2026-03-01,MB033
F00076,CAMP113,social,positive,Hard to find schedule,49,2026-03-02,MB019
F00077,CAMP111,web,positive,Difficulty mismatch,42,2026-01-27,MB049
F00078,CAMP109,email,negative,Too many notifications,90,2026-02-05,MB030
F00079,CAMP103,app,positive,Instructor energy,8,2025-12-25,MB042
F00080,CAMP115,web,positive,Not personalized enough,52,2025-11-30,MB045
F00081,CAMP103,app,negative,Difficulty mismatch,54,2026-01-20,MB029
F00082,CAMP107,app,negative,Hard to find schedule,54,2026-02-28,MB009
F00083,CAMP103,web,negative,Motivation & habit,32,2026-01-20,MB003
F00084,CAMP104,email,neutral,Community vibe,41,2026-02-04,MB004
F00085,CAMP103,email,neutral,Too many notifications,7,2026-02-21,MB018
F00086,CAMP115,web,positive,Motivation & habit,40,2026-02-19,MB046
F00087,CAMP101,social,neutral,Difficulty mismatch,39,2026-02-10,MB016
F00088,CAMP110,email,neutral,Difficulty mismatch,19,2026-03-02,MB011
F00089,CAMP101,email,neutral,Repetitive messaging,39,2026-03-01,MB029
F00090,CAMP109,web,negative,Pricing confusion,77,2026-03-01,MB024
F00091,CAMP100,web,negative,Unclear value proposition,33,2026-02-25,MB040
F00092,CAMP110,app,positive,Pricing confusion,55,2026-01-16,MB020
F00093,CAMP109,social,negative,Pricing confusion,47,2026-02-22,MB016
F00094,CAMP117,social,neutral,App performance,54,2026-02-28,MB001
F00095,CAMP106,email,neutral,App performance,22,2026-02-12,MB005
F00096,CAMP117,app,positive,Not personalized enough,25,2026-01-25,MB027
F00097,CAMP115,app,negative,Pricing confusion,40,2026-02-15,MB007
F00098,CAMP106,app,positive,Not personalized enough,53,2026-02-20,MB002
F00099,CAMP110,web,positive,Unclear value proposition,31,2026-02-15,MB034
F00100,CAMP110,app,negative,Hard to find schedule,21,2026-02-17,MB032
F00101,CAMP101,social,negative,Not personalized enough,42,2026-01-23,MB032
F00102,CAMP109,email,negative,Repetitive messaging,83,2026-01-15,MB030
F00103,CAMP103,web,negative,Music selection,58,2026-02-01,MB022
F00104,CAMP115,email,negative,Too much jargon,51,2026-01-18,MB007
F00105,CAMP104,social,negative,Pricing confusion,65,2026-01-22,MB031
F00106,CAMP115,app,negative,Unclear value proposition,48,2026-03-02,MB031
F00107,CAMP114,app,positive,Motivation & habit,11,2026-02-11,MB043
F00108,CAMP112,app,negative,Too many notifications,10,2026-03-01,MB024
F00109,CAMP112,app,negative,Unclear value proposition,74,2026-01-24,MB018
F00110,CAMP114,app,negative,Pricing confusion,38,2026-01-24,MB023
F00111,CAMP107,social,negative,Hard to find schedule,80,2026-02-18,MB033
F00112,CAMP112,web,negative,Difficulty mismatch,36,2026-02-13,MB013
F00113,CAMP104,email,neutral,Music selection,30,2026-01-23,MB045
F00114,CAMP112,email,neutral,Not personalized enough,27,2025-12-14,MB030
F00115,CAMP117,app,positive,Motivation & habit,72,2026-01-03,MB006
F00116,CAMP112,email,negative,Not personalized enough,64,2025-12-17,MB044
F00117,CAMP109,social,negative,Repetitive messaging,105,2026-01-17,MB038
F00118,CAMP100,app,neutral,Difficulty mismatch,22,2026-02-05,MB003
F00119,CAMP107,app,neutral,Community vibe,45,2026-02-17,MB025
F00120,CAMP104,web,negative,App performance,24,2026-02-19,MB032
F00121,CAMP113,social,negative,Unclear value proposition,77,2026-02-24,MB018
F00122,CAMP114,social,negative,Repetitive messaging,56,2026-01-26,MB020
F00123,CAMP101,web,positive,Community vibe,86,2026-02-22,MB032
F00124,CAMP109,app,negative,Hard to find schedule,85,2025-11-23,MB017
F00125,CAMP116,app,positive,Motivation & habit,37,2025-12-29,MB029
F00126,CAMP104,social,neutral,Too much jargon,52,2026-01-29,MB019
F00127,CAMP105,web,neutral,Repetitive messaging,29,2026-01-15,MB049
F00128,CAMP105,web,negative,Repetitive messaging,69,2026-01-23,MB002
F00129,CAMP113,social,negative,Pricing confusion,41,2026-02-23,MB030
F00130,CAMP116,app,negative,Unclear value proposition,29,2026-02-21,MB023
F00131,CAMP112,social,neutral,Unclear value proposition,38,2026-02-11,MB023
F00132,CAMP117,web,positive,Instructor energy,70,2026-02-17,MB033
F00133,CAMP116,app,positive,Community vibe,33,2026-01-06,MB029
F00134,CAMP106,app,negative,Pricing confusion,20,2026-01-26,MB040
F00135,CAMP104,email,neutral,App performance,5,2026-02-03,MB008
F00136,CAMP100,social,positive,Not personalized enough,48,2026-02-08,MB012
F00137,CAMP104,web,neutral,Video quality,25,2026-01-01,MB018
F00138,CAMP114,web,negative,Pricing confusion,55,2026-01-15,MB039
F00139,CAMP106,web,negative,App performance,81,2026-02-12,MB025
F00140,CAMP117,social,negative,Motivation & habit,107,2026-02-23,MB024
F00141,CAMP112,app,negative,Pricing confusion,54,2026-02-23,MB020
F00142,CAMP102,app,negative,Music selection,40,2026-02-18,MB038
F00143,CAMP106,social,negative,App performance,64,2026-01-29,MB034
F00144,CAMP102,web,negative,Hard to find schedule,23,2026-02-11,MB023
F00145,CAMP116,app,positive,Music selection,54,2026-01-30,MB011
F00146,CAMP110,app,neutral,App performance,34,2026-01-26,MB015
F00147,CAMP116,email,negative,Pricing confusion,63,2026-02-07,MB013
F00148,CAMP115,app,neutral,App performance,37,2025-12-31,MB014
F00149,CAMP105,web,negative,Too many notifications,34,2025-12-30,MB048
F00150,CAMP115,app,positive,Motivation & habit,32,2025-12-08,MB003
F00151,CAMP105,web,positive,Unclear value proposition,52,2026-01-24,MB009
F00152,CAMP112,web,positive,Instructor energy,65,2026-02-22,MB033
F00153,CAMP105,email,negative,App performance,48,2026-02-09,MB019
F00154,CAMP100,email,positive,Repetitive messaging,26,2026-02-06,MB032
F00155,CAMP105,web,neutral,Repetitive messaging,25,2026-02-19,MB022
F00156,CAMP104,app,negative,Video quality,68,2026-02-05,MB042
F00157,CAMP105,social,positive,Motivation & habit,30,2026-02-08,MB022
F00158,CAMP117,app,negative,Video quality,78,2025-12-19,MB029
F00159,CAMP115,app,neutral,Too much jargon,18,2026-02-25,MB041
F00160,CAMP116,web,negative,Unclear value proposition,90,2026-02-12,MB022
F00161,CAMP116,social,negative,Unclear value proposition,65,2026-01-03,MB030
F00162,CAMP106,app,negative,Difficulty mismatch,39,2026-02-18,MB038
F00163,CAMP113,social,positive,Video quality,5,2026-02-16,MB028
F00164,CAMP111,app,positive,Music selection,58,2026-01-12,MB033
F00165,CAMP116,app,positive,Instructor energy,47,2026-01-31,MB037
F00166,CAMP114,app,neutral,Repetitive messaging,44,2026-02-08,MB045
F00167,CAMP104,web,neutral,Repetitive messaging,33,2026-01-26,MB033
F00168,CAMP106,email,negative,Hard to find schedule,55,2026-02-11,MB040
F00169,CAMP114,app,negative,Too much jargon,65,2026-02-08,MB034
F00170,CAMP117,app,negative,App performance,58,2026-02-14,MB001
F00171,CAMP101,app,negative,Unclear value proposition,18,2025-12-30,MB023
F00172,CAMP100,email,negative,Repetitive messaging,62,2025-12-26,MB013
F00173,CAMP106,app,neutral,Music selection,10,2026-01-21,MB037
F00174,CAMP113,app,negative,Pricing confusion,69,2026-02-28,MB042
F00175,CAMP109,app,neutral,Unclear value proposition,26,2026-01-04,MB002
F00176,CAMP116,app,negative,App performance,40,2026-02-01,MB002
F00177,CAMP110,app,neutral,Unclear value proposition,48,2026-01-31,MB016
F00178,CAMP114,app,neutral,Hard to find schedule,14,2026-01-28,MB013
F00179,CAMP110,app,neutral,Difficulty mismatch,37,2026-02-25,MB015
F00180,CAMP101,email,negative,Pricing confusion,23,2026-01-11,MB010
F00181,CAMP102,email,neutral,Music selection,3,2025-12-22,MB030
F00182,CAMP113,app,negative,Pricing confusion,62,2026-01-02,MB038
F00183,CAMP117,app,negative,Pricing confusion,54,2026-01-12,MB004
F00184,CAMP111,app,negative,Unclear value proposition,37,2026-01-14,MB043
F00185,CAMP113,app,negative,Motivation & habit,49,2026-02-19,MB043
F00186,CAMP112,social,negative,Unclear value proposition,91,2026-02-05,MB013
F00187,CAMP115,email,negative,Video quality,67,2026-01-05,MB005
F00188,CAMP111,app,negative,Not personalized enough,47,2026-01-17,MB010
F00189,CAMP105,email,neutral,Too many notifications,21,2026-01-10,MB030
F00190,CAMP111,social,positive,Community vibe,23,2026-01-15,MB045
F00191,CAMP113,email,negative,Pricing confusion,57,2026-01-07,MB031
F00192,CAMP114,app,positive,Motivation & habit,6,2026-02-22,MB025
F00193,CAMP114,email,negative,Pricing confusion,75,2026-01-06,MB037
F00194,CAMP106,app,neutral,Not personalized enough,39,2026-02-13,MB014
F00195,CAMP103,web,positive,Community vibe,64,2026-01-25,MB010
F00196,CAMP117,app,negative,Video quality,61,2026-02-14,MB038
F00197,CAMP110,email,negative,App performance,47,2025-12-01,MB006
F00198,CAMP117,email,negative,Unclear value proposition,71,2026-02-23,MB045
F00199,CAMP109,app,negative,Video quality,61,2026-01-06,MB037
F00200,CAMP109,social,negative,Too many notifications,67,2026-02-26,MB019
F00201,CAMP114,email,neutral,Video quality,23,2026-02-23,MB029
F00202,CAMP112,app,negative,Instructor energy,48,2026-01-23,MB017
F00203,CAMP117,email,neutral,Motivation & habit,27,2026-01-14,MB001
F00204,CAMP101,email,positive,Instructor energy,42,2026-02-04,MB050
F00205,CAMP113,app,positive,Community vibe,5,2025-12-16,MB050
F00206,CAMP117,social,positive,Repetitive messaging,44,2026-02-14,MB044
F00207,CAMP115,email,negative,Pricing confusion,59,2026-02-03,MB010
F00208,CAMP116,email,neutral,Unclear value proposition,21,2026-02-12,MB007
F00209,CAMP113,social,negative,Video quality,78,2025-12-04,MB015
F00210,CAMP117,email,positive,Community vibe,58,2026-02-20,MB002
F00211,CAMP109,email,positive,Unclear value proposition,48,2025-12-11,MB036
F00212,CAMP115,email,neutral,Motivation & habit,46,2026-02-06,MB022
F00213,CAMP108,social,neutral,Too much jargon,28,2025-12-11,MB050
F00214,CAMP105,app,negative,Pricing confusion,29,2026-02-24,MB011
F00215,CAMP110,email,negative,Hard to find schedule,75,2026-01-03,MB027
F00216,CAMP100,app,negative,Too much jargon,31,2026-03-02,MB025
F00217,CAMP114,app,positive,Instructor energy,83,2026-01-31,MB027
F00218,CAMP104,social,negative,App performance,49,2026-01-09,MB040
F00219,CAMP106,email,negative,Motivation & habit,49,2026-02-12,MB016
F00220,CAMP107,app,positive,Motivation & habit,67,2025-12-25,MB029
F00221,CAMP113,app,neutral,Repetitive messaging,24,2026-01-04,MB007
F00222,CAMP111,web,negative,Repetitive messaging,82,2026-02-05,MB049
F00223,CAMP112,web,negative,Repetitive messaging,46,2026-02-01,MB021
F00224,CAMP112,app,positive,Community vibe,60,2026-01-20,MB022
F00225,CAMP106,app,negative,Repetitive messaging,41,2026-02-19,MB038
F00226,CAMP112,app,positive,Motivation & habit,80,2026-02-27,MB022
F00227,CAMP102,email,positive,Unclear value proposition,47,2026-01-30,MB028
F00228,CAMP105,social,negative,App performance,84,2026-02-27,MB035
F00229,CAMP114,email,negative,App performance,87,2026-02-08,MB029
F00230,CAMP102,email,negative,Hard to find schedule,32,2026-02-18,MB042
F00231,CAMP115,app,positive,Repetitive messaging,26,2025-12-26,MB038
F00232,CAMP111,email,positive,Community vibe,18,2026-03-01,MB004
F00233,CAMP101,web,positive,Repetitive messaging,47,2026-01-21,MB024
F00234,CAMP105,app,neutral,Motivation & habit,15,2026-01-19,MB013
F00235,CAMP115,app,positive,Instructor energy,62,2026-02-19,MB039
F00236,CAMP112,email,positive,App performance,42,2026-01-23,MB003
F00237,CAMP115,web,positive,Music selection,20,2026-01-27,MB049
F00238,CAMP109,web,negative,Pricing confusion,65,2026-02-17,MB032
F00239,CAMP117,app,negative,Repetitive messaging,47,2026-01-23,MB012
F00240,CAMP116,app,positive,Community vibe,38,2026-01-31,MB045
F00241,CAMP102,app,positive,Motivation & habit,18,2026-02-10,MB025
F00242,CAMP115,email,negative,Motivation & habit,54,2026-02-12,MB033
F00243,CAMP104,app,positive,Motivation & habit,5,2026-01-22,MB047
F00244,CAMP103,email,negative,Difficulty mismatch,51,2026-02-07,MB032
F00245,CAMP107,app,negative,Music selection,5,2026-01-02,MB022
F00246,CAMP113,app,neutral,Repetitive messaging,36,2026-02-09,MB020
F00247,CAMP105,social,negative,Too many notifications,48,2026-02-13,MB046
F00248,CAMP110,web,neutral,Not personalized enough,6,2025-11-19,MB043
F00249,CAMP116,app,negative,App performance,73,2026-02-26,MB015
F00250,CAMP115,app,negative,Repetitive messaging,72,2026-01-03,MB016
F00251,CAMP106,app,negative,Not personalized enough,5,2026-02-17,MB020
F00252,CAMP100,social,negative,Community vibe,35,2026-02-15,MB050
F00253,CAMP110,email,neutral,Not personalized enough,25,2026-01-31,MB008
F00254,CAMP108,email,positive,App performance,24,2026-02-23,MB029
F00255,CAMP106,web,positive,Instructor energy,38,2026-01-22,MB035
F00256,CAMP112,web,positive,Not personalized enough,45,2026-01-20,MB015
F00257,CAMP110,social,negative,Unclear value proposition,50,2026-01-25,MB027
F00258,CAMP100,app,positive,Instructor energy,43,2026-02-22,MB012
F00259,CAMP113,social,negative,Hard to find schedule,45,2026-02-20,MB002
F00260,CAMP100,app,negative,Too much jargon,69,2025-12-25,MB027
F00261,CAMP105,app,positive,Video quality,45,2026-02-23,MB003
F00262,CAMP117,social,neutral,Pricing confusion,58,2026-02-22,MB001
F00263,CAMP112,email,negative,Not personalized enough,69,2026-01-12,MB025
F00264,CAMP105,social,positive,Instructor energy,24,2026-01-30,MB030
F00265,CAMP117,email,positive,Instructor energy,31,2026-02-13,MB012
F00266,CAMP115,email,negative,Too many notifications,71,2026-02-09,MB014
F00267,CAMP115,email,negative,Too many notifications,72,2026-01-18,MB004
F00268,CAMP117,email,neutral,Community vibe,9,2026-01-11,MB043
F00269,CAMP110,app,neutral,Difficulty mismatch,34,2026-01-19,MB029
F00270,CAMP111,app,negative,Unclear value proposition,107,2026-01-21,MB028
F00271,CAMP104,app,negative,Music selection,49,2026-01-31,MB022
F00272,CAMP105,app,negative,Pricing confusion,37,2026-01-01,MB018
F00273,CAMP108,email,negative,Not personalized enough,60,2025-12-14,MB040
F00274,CAMP108,email,negative,Not personalized enough,67,2026-02-17,MB007
F00275,CAMP117,app,negative,Pricing confusion,38,2026-02-08,MB049
F00276,CAMP113,web,positive,Community vibe,60,2026-02-09,MB009
F00277,CAMP101,app,negative,Pricing confusion,106,2026-01-26,MB039
F00278,CAMP113,email,neutral,App performance,19,2025-12-27,MB026
F00279,CAMP107,email,negative,App performance,54,2026-01-30,MB048
F00280,CAMP109,web,negative,Too much jargon,46,2026-02-20,MB037
F00281,CAMP114,social,negative,Too much jargon,52,2026-02-28,MB017
F00282,CAMP103,email,positive,Motivation & habit,60,2026-02-22,MB033
F00283,CAMP108,email,negative,Unclear value proposition,85,2025-12-23,MB041
F00284,CAMP106,social,positive,Difficulty mismatch,58,2026-02-12,MB006
F00285,CAMP110,email,positive,Music selection,30,2026-02-18,MB032
F00286,CAMP114,social,positive,Instructor energy,46,2026-02-26,MB028
F00287,CAMP101,email,neutral,Too much jargon,45,2026-02-02,MB024
F00288,CAMP116,app,negative,Unclear value proposition,38,2026-02-26,MB037
F00289,CAMP110,web,negative,Too many notifications,49,2026-01-13,MB021
F00290,CAMP101,email,negative,Community vibe,65,2026-02-27,MB014
F00291,CAMP106,web,neutral,Not personalized enough,12,2026-01-26,MB024
F00292,CAMP108,web,neutral,Motivation & habit,27,2026-02-10,MB042
F00293,CAMP111,email,positive,Motivation & habit,34,2026-01-15,MB050
F00294,CAMP110,social,neutral,Music selection,29,2026-02-04,MB015
F00295,CAMP113,social,positive,Hard to find schedule,27,2026-01-29,MB001
F00296,CAMP115,app,positive,Unclear value proposition,64,2026-02-07,MB021
F00297,CAMP114,app,positive,Motivation & habit,13,2026-01-26,MB047
F00298,CAMP114,app,neutral,Music selection,6,2026-01-10,MB026
F00299,CAMP102,social,negative,Repetitive messaging,75,2026-01-23,MB022
F00300,CAMP115,web,negative,Pricing confusion,26,2026-01-08,MB018
F00301,CAMP116,app,neutral,Music selection,10,2026-01-19,MB036
F00302,CAMP116,social,positive,Music selection,58,2026-02-05,MB032
F00303,CAMP113,email,negative,Instructor energy,51,2026-02-24,MB028
F00304,CAMP109,email,negative,Unclear value proposition,83,2026-02-25,MB035
F00305,CAMP104,app,negative,Too many notifications,55,2026-02-14,MB015
F00306,CAMP114,social,negative,Hard to find schedule,61,2026-01-20,MB031
F00307,CAMP114,social,negative,App performance,48,2026-03-03,MB031
F00308,CAMP107,social,negative,Video quality,65,2026-02-18,MB030
F00309,CAMP108,email,neutral,Difficulty mismatch,22,2025-12-20,MB028
F00310,CAMP108,app,neutral,Unclear value proposition,26,2025-12-17,MB021
F00311,CAMP107,web,negative,Too many notifications,61,2026-02-14,MB019
F00312,CAMP105,app,positive,Instructor energy,30,2026-01-16,MB027
F00313,CAMP105,web,negative,Not personalized enough,93,2026-01-23,MB033
F00314,CAMP115,email,negative,Unclear value proposition,30,2026-01-23,MB006
F00315,CAMP109,web,positive,Instructor energy,74,2026-01-04,MB036
F00316,CAMP117,web,positive,Motivation & habit,36,2026-02-23,MB042
F00317,CAMP116,social,negative,Hard to find schedule,58,2026-01-16,MB022
F00318,CAMP100,social,negative,Unclear value proposition,72,2026-02-17,MB021
F00319,CAMP105,social,neutral,Video quality,53,2026-01-29,MB017
F00320,CAMP107,web,negative,Not personalized enough,76,2026-02-24,MB020
F00321,CAMP104,social,negative,Community vibe,89,2026-02-02,MB034
F00322,CAMP112,email,negative,Too many notifications,40,2026-01-16,MB012
F00323,CAMP116,app,positive,Instructor energy,44,2026-01-18,MB034
F00324,CAMP111,email,neutral,Too many notifications,3,2026-02-20,MB035
F00325,CAMP109,email,neutral,Repetitive messaging,47,2026-01-16,MB009
F00326,CAMP105,app,neutral,Repetitive messaging,14,2026-01-30,MB021
F00327,CAMP114,app,negative,Difficulty mismatch,100,2026-01-18,MB049
F00328,CAMP101,social,negative,Pricing confusion,28,2026-02-03,MB046
F00329,CAMP110,email,negative,Not personalized enough,64,2026-02-25,MB016
F00330,CAMP100,app,neutral,Community vibe,7,2026-01-30,MB023
F00331,CAMP110,app,neutral,Too much jargon,33,2026-02-09,MB021
F00332,CAMP107,email,neutral,Community vibe,17,2026-01-07,MB037
F00333,CAMP117,app,neutral,Difficulty mismatch,22,2026-01-18,MB013
F00334,CAMP114,app,negative,Pricing confusion,23,2026-03-02,MB006
F00335,CAMP115,app,positive,Motivation & habit,42,2026-02-13,MB034
F00336,CAMP108,social,negative,App performance,37,2026-01-22,MB012
F00337,CAMP102,web,negative,Too many notifications,65,2026-01-19,MB014
F00338,CAMP100,app,neutral,App performance,47,2026-01-20,MB045
F00339,CAMP114,social,neutral,Pricing confusion,28,2026-02-18,MB043
F00340,CAMP110,email,negative,Not personalized enough,50,2026-02-15,MB026
F00341,CAMP107,app,positive,Instructor energy,55,2025-12-21,MB048
F00342,CAMP106,app,positive,Motivation & habit,71,2025-12-26,MB050
F00343,CAMP115,email,negative,Instructor energy,18,2026-02-24,MB042
F00344,CAMP113,app,neutral,Music selection,4,2026-02-21,MB001
F00345,CAMP116,web,neutral,Not personalized enough,14,2026-02-21,MB005
F00346,CAMP101,web,positive,Instructor energy,65,2026-02-27,MB039
F00347,CAMP108,app,positive,Community vibe,74,2026-02-07,MB015
F00348,CAMP117,email,negative,Repetitive messaging,54,2026-02-11,MB014
F00349,CAMP104,app,positive,Hard to find schedule,7,2026-02-16,MB010
F00350,CAMP115,email,negative,Unclear value proposition,48,2026-02-10,MB017
F00351,CAMP111,app,neutral,Motivation & habit,30,2026-02-27,MB019
F00352,CAMP107,social,negative,Hard to find schedule,65,2026-02-13,MB007
F00353,CAMP106,social,positive,Difficulty mismatch,41,2025-12-30,MB009
F00354,CAMP112,email,negative,Motivation & habit,59,2026-02-18,MB008
F00355,CAMP105,app,positive,Community vibe,75,2026-02-11,MB012
F00356,CAMP105,social,neutral,Instructor energy,31,2025-12-29,MB014
F00357,CAMP115,web,positive,Instructor energy,32,2026-01-11,MB020
F00358,CAMP110,app,neutral,Repetitive messaging,27,2025-12-16,MB041
F00359,CAMP105,app,negative,Pricing confusion,80,2026-02-23,MB035
F00360,CAMP111,app,neutral,App performance,44,2026-02-15,MB036
F00361,CAMP102,social,positive,Instructor energy,41,2026-02-17,MB032
F00362,CAMP101,app,negative,Too many notifications,52,2026-01-19,MB030
F00363,CAMP110,app,negative,Unclear value proposition,58,2026-01-21,MB020
F00364,CAMP107,app,neutral,Community vibe,44,2026-02-20,MB041
F00365,CAMP100,app,neutral,Hard to find schedule,35,2026-01-24,MB015
F00366,CAMP114,email,positive,Not personalized enough,52,2026-01-11,MB031
F00367,CAMP110,email,negative,Not personalized enough,76,2026-01-26,MB009
F00368,CAMP108,social,neutral,Pricing confusion,29,2025-12-28,MB038
F00369,CAMP110,app,neutral,Repetitive messaging,30,2026-01-31,MB034
F00370,CAMP109,app,negative,Unclear value proposition,35,2026-02-23,MB027
F00371,CAMP110,social,negative,Pricing confusion,51,2025-12-23,MB007
F00372,CAMP108,social,negative,Repetitive messaging,37,2026-01-28,MB017
F00373,CAMP101,email,negative,Pricing confusion,32,2026-01-22,MB011
F00374,CAMP111,app,positive,Music selection,49,2026-01-14,MB048
F00375,CAMP106,app,neutral,Not personalized enough,32,2026-02-15,MB026
F00376,CAMP110,web,negative,Repetitive messaging,77,2026-02-11,MB036
F00377,CAMP106,app,positive,Repetitive messaging,24,2025-12-09,MB038
F00378,CAMP107,app,positive,Too many notifications,25,2026-01-30,MB023
F00379,CAMP108,web,positive,Motivation & habit,38,2026-01-11,MB047
F00380,CAMP104,social,positive,Instructor energy,56,2026-01-28,MB014
F00381,CAMP117,app,negative,Unclear value proposition,33,2026-01-18,MB002
F00382,CAMP108,app,negative,Not personalized enough,79,2026-02-09,MB026
F00383,CAMP105,email,positive,Community vibe,14,2026-02-26,MB046
F00384,CAMP116,email,neutral,Community vibe,48,2025-12-25,MB035
F00385,CAMP105,email,negative,Not personalized enough,74,2026-01-02,MB041
F00386,CAMP107,app,neutral,Video quality,15,2026-02-28,MB009
F00387,CAMP116,social,negative,App performance,37,2026-02-27,MB039
F00388,CAMP115,web,negative,Pricing confusion,34,2026-01-23,MB030
F00389,CAMP111,app,negative,Repetitive messaging,53,2026-02-02,MB004
F00390,CAMP107,app,neutral,Motivation & habit,35,2026-01-27,MB011
